,OBJECTID,IMPROVEMEN,DAMAGE,HOME_OWNER,SQUARE_FOO,income_indiv,home_ins,fin_asset,geometry,dollar_needed,balance,insurance,fema,sba,cdbg,bank,ngo,param,insurance_time,fema_time,sba_time,cdbg_time,bank_time,ngo_time,param_time,total_time,cdbg_tier,savings,cons_time,cons_start,cons_finish
14411,420761,47752,1,H,1380,115904.66594501503,47752.0,908751.0,0,95.504,0.0,0.0,0.0,42.881296000000006,0.0,52.622704,0.0,0,0.0,0.0,17.532129306196573,0.0,23.323679411728797,0.0,0,40.85580871792537,4,0.0,1.706769651492208,40.85580871792537,42.56257836941758
14412,420766,336096,1,H,2533,261177.36643960635,261642.25,828404.0,0,672.192,0.0,0.0,0.0,0.0,0.0,672.192,0.0,0,0.0,0.0,0.0,0.0,56.925102439082416,0.0,0,56.925102439082416,4,0.0,2.3475671337861583,56.925102439082416,59.27266957286857
14413,420768,100981,1,H,1372,35183.79016861639,100981.0,828404.0,0,201.96200000000002,201.96200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,1.4618273907022874,,
14414,420776,108185,1,H,1806,79842.34547397365,108185.0,828404.0,0,216.37,0.0,0.0,0.0,97.15013,0.0,119.21987,0.0,0,0.0,0.0,99.04619377014535,0.0,80.73897377297058,0.0,0,179.78516754311593,2,0.0,2.810997247867168,179.78516754311593,182.5961647909831
14415,420797,191407,2,H,1785,477157.8514704497,191407.0,846963.0,0,19140.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,19140.7,14.365666544041275,0.0,14.365666544041275
14416,420801,265750,1,H,1903,390704.5084057033,265750.0,846963.0,0,531.5,0.0,0.0,0.0,0.0,0.0,531.5,0.0,0,0.0,0.0,0.0,0.0,49.83955449248558,0.0,0,49.83955449248558,4,0.0,3.6066631102170876,49.83955449248558,53.44621760270267
14417,420803,250487,1,H,1843,80834.8261623735,250487.0,846963.0,0,500.974,0.0,0.0,0.0,224.937326,0.0,276.03667399999995,0.0,0,0.0,0.0,110.12145132090454,0.0,45.172698126209106,0.0,0,155.29414944711365,2,0.0,2.7313411693183642,155.29414944711365,158.02549061643202
14418,420816,172729,1,H,1360,43635.50293732365,172729.0,327683.0,0,345.458,345.458,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,1.8416955718029027,,
14419,420832,40987,3,H,1234,89943.38520760507,40987.0,548853.0,0,20493.5,0.0,0.0,0.0,0.0,0.0,20493.5,0.0,0,0.0,0.0,0.0,0.0,116.58277366652725,0.0,0,116.58277366652725,3,0.0,233.4449835964686,116.58277366652725,350.02775726299586
14420,420835,145429,1,H,1521,252585.30392163392,145429.0,548853.0,0,290.858,0.0,0.0,0.0,0.0,0.0,290.858,0.0,0,0.0,0.0,0.0,0.0,51.88938495920291,0.0,0,51.88938495920291,4,0.0,1.5152238519517494,51.88938495920291,53.40460881115466
14421,420843,238889,1,H,1694,41030.07325420377,238889.0,809781.0,0,477.778,477.778,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,1.2793744396745816,,
14422,420844,166933,2,H,1041,49178.08966234825,166933.0,809781.0,0,16693.3,16693.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,31.675758989564407,,
